total,total_big3,yw,sx,yy,wl
312,132,20,32,80,91
268,146,61,45,40,13
344,177,50,90,37,96
370,144,79,3,62,56
150,67,11,46,10,0
348,171,26,56,89,73
228,118,47,63,8,3
367,209,91,35,83,62
193,63,38,14,11,3
386,192,85,75,32,76
273,128,34,3,91,51
272,118,19,45,54,21
265,123,54,16,53,82
303,150,44,38,68,57
408,193,17,94,82,85
314,158,67,9,82,15
326,191,60,99,32,50
302,161,90,19,52,46
359,218,93,99,26,1
351,163,82,70,11,23
398,124,53,15,56,93
264,53,26,6,21,75
367,219,47,88,84,46
329,127,45,82,0,82
215,111,2,14,95,29
163,126,86,27,13,15
280,110,93,4,13,72
230,134,87,5,42,27
178,27,11,0,16,71
384,197,94,66,37,77
247,86,14,42,30,87
188,63,4,56,3,46
375,166,7,86,73,67
311,126,42,36,48,92
356,162,85,41,36,94
138,64,36,20,8,38
211,159,56,46,57,11
267,97,30,14,53,91
244,73,29,11,33,18
228,75,1,49,25,66
323,141,70,17,54,52
280,111,44,33,34,19
416,181,23,72,86,78
412,234,84,60,90,85
313,126,78,43,5,84
239,119,37,70,12,34
355,176,81,95,0,4
278,74,31,0,43,57
300,118,18,84,16,34
232,123,53,27,43,10
258,128,23,93,12,26
374,201,68,98,35,64
322,69,2,59,8,97
233,60,37,22,1,60
445,203,90,81,32,93
225,128,37,74,17,7
243,61,19,22,20,27
333,112,61,10,41,70
361,169,98,53,18,70
237,169,17,65,87,12
256,108,98,3,7,26
357,178,65,31,82,35
289,184,65,63,56,63
272,96,6,60,30,46
270,134,19,73,42,42
251,152,78,51,23,38
335,132,21,75,36,57
164,90,57,33,0,18
334,189,67,23,99,64
249,136,40,31,65,28
268,132,36,87,9,98
231,130,35,5,90,33
239,158,54,85,19,16
387,243,73,93,77,39
131,59,37,12,10,34
194,55,4,35,16,46
380,183,96,77,10,75
262,139,86,37,16,8
395,183,52,88,43,85
129,54,37,12,5,10
324,223,69,89,65,38
290,200,85,48,67,21
305,211,31,89,91,23
286,102,43,26,33,54
256,145,9,63,73,33
210,138,93,14,31,10
346,139,40,79,20,66
355,248,55,94,99,91
383,178,78,6,94,94
417,259,94,75,90,84
270,105,8,53,44,85
255,181,86,67,28,42
237,40,0,29,11,82
442,186,96,11,79,97
285,139,28,22,89,55
328,229,89,84,56,64
165,36,14,1,21,67
274,131,40,5,86,66
280,177,75,70,32,53
432,258,95,91,72,92
261,179,83,74,22,16
421,184,77,61,46,81
141,103,79,14,10,13
236,191,63,68,60,6
227,144,6,68,70,24
483,234,71,70,93,58
236,171,63,15,93,10
222,127,65,0,62,61
274,222,84,83,55,23
376,216,91,63,62,74
242,123,28,71,24,35
412,206,54,95,57,77
366,215,19,99,97,40
365,180,75,6,99,45
473,287,97,96,94,28
282,137,40,78,19,7
411,193,34,86,73,71
148,32,14,6,12,45
395,264,81,89,94,39
197,136,56,59,21,36
380,122,31,84,7,98
344,149,24,84,41,79
265,142,90,32,20,14
286,118,18,65,35,84
307,200,77,28,95,9
318,184,68,93,23,19
229,107,36,22,49,27
221,64,20,32,12,61
286,154,66,43,45,73
395,238,70,74,94,69
237,133,49,42,42,9
313,162,40,71,51,51
254,134,48,61,25,86
242,159,77,54,28,15
196,93,14,58,21,81
175,102,36,28,38,16
356,194,83,28,83,14
253,91,29,35,27,63
297,167,60,85,22,27
278,123,34,1,88,80
325,183,80,19,84,34
288,160,72,60,28,36
281,193,5,99,89,17
380,205,25,85,95,72
340,189,75,43,71,36
317,209,22,91,96,36
304,163,45,30,88,64
352,181,37,80,64,32
404,151,50,14,87,97
265,113,30,29,54,22
309,146,23,70,53,69
218,99,35,20,44,38
281,111,19,4,88,95
313,140,41,90,9,92
233,116,62,23,31,47
427,237,88,81,68,88
223,108,52,42,14,33
364,190,63,57,70,36
263,124,23,71,30,38
329,131,14,70,47,15
221,90,61,10,19,98
360,192,75,48,69,76
261,83,8,72,3,17
305,132,86,9,37,52
367,238,60,96,82,20
269,126,34,58,34,43
480,258,88,98,72,60
110,58,16,21,21,6
206,100,33,37,30,3
159,77,23,45,9,57
348,161,7,71,83,60
226,140,37,95,8,14
295,63,11,12,40,85
275,169,48,88,33,3
340,172,28,51,93,80
398,168,49,76,43,70
341,149,37,15,97,83
431,231,89,73,69,96
278,133,52,8,73,43
248,167,64,91,12,15
294,111,7,51,53,43
268,179,88,69,22,6
230,131,39,61,31,45
215,86,54,23,9,4
295,226,97,87,42,38
348,139,51,40,48,90
426,217,82,77,58,71
283,140,99,13,28,41
405,124,22,52,50,97
213,114,49,57,8,21
344,129,66,4,59,83
362,222,75,77,70,6
395,212,42,76,94,57
347,258,98,75,85,71
228,90,3,10,77,75
299,191,93,53,45,37
170,76,13,47,16,50
246,186,78,73,35,10
284,179,39,46,94,33
372,200,81,82,37,54
346,130,49,23,58,90
308,194,41,62,91,33
311,124,36,21,67,77
197,152,18,75,59,26
306,150,2,75,73,5
271,173,61,43,69,34
227,92,26,6,60,89
289,150,93,16,41,15
323,132,34,23,75,30
334,214,88,57,69,78
301,102,44,40,18,93
323,153,0,92,61,51
247,187,57,48,82,39
285,205,77,42,86,18
341,205,78,52,75,45
321,146,18,56,72,66
360,185,79,73,33,63
330,154,69,65,20,38
284,138,73,15,50,40
215,132,74,38,20,29
348,204,98,18,88,70
244,77,22,19,36,70
304,131,85,26,20,69
287,174,6,74,94,22
405,171,61,84,26,90
266,172,78,70,24,49
264,119,50,41,28,40
354,209,31,90,88,85
322,160,8,82,70,31
176,101,81,5,15,12
383,214,24,91,99,79
275,118,2,82,34,88
152,134,37,38,59,5
339,195,11,94,90,24
278,140,18,65,57,86
177,115,61,5,49,18
269,149,15,48,86,11
384,201,48,70,83,62
335,161,76,50,35,14
160,70,27,13,30,20
347,187,82,75,30,73
326,180,19,66,95,33
332,190,83,59,48,62
253,111,25,73,13,42
217,155,43,68,44,9
223,69,20,46,3,40
379,166,34,95,37,66
194,130,36,75,19,27
302,141,32,42,67,58
243,154,10,54,90,40
298,180,91,74,15,91
390,274,93,85,96,27
314,163,13,89,61,96
193,72,9,21,42,76
274,99,41,21,37,40
373,125,13,26,86,74
340,138,8,85,45,83
276,106,34,37,35,71
204,84,39,43,2,11
192,104,12,63,29,41
276,128,36,6,86,11
276,153,81,40,32,8
275,127,26,3,98,41
408,234,62,87,85,15
308,168,90,46,32,26
360,136,22,81,33,52
330,194,35,88,71,59
209,86,2,81,3,32
253,90,12,53,25,90
249,127,65,37,25,54
336,194,44,93,57,54
381,192,93,71,28,95
282,106,13,46,47,91
432,213,56,73,84,73
178,100,32,36,32,28
283,121,63,19,39,60
296,178,47,76,55,62
298,189,96,16,77,49
349,138,69,61,8,55
193,73,0,72,1,3
412,190,51,43,96,56
114,44,18,21,5,18
210,24,7,1,16,60
421,187,58,90,39,86
291,157,89,41,27,90
305,140,9,95,36,74
203,100,39,35,26,10
320,141,13,84,44,97
405,196,72,49,75,23
356,160,64,71,25,32
294,160,78,17,65,40
408,161,69,54,38,99
224,101,10,65,26,48
355,185,46,87,52,84
280,133,67,11,55,4
279,137,66,39,32,47
267,107,9,84,14,30
264,133,49,44,40,24
282,107,63,21,23,78
404,175,35,41,99,74
345,168,72,28,68,43
285,148,41,93,14,8
353,191,96,57,38,67
369,188,42,57,89,19
406,202,87,44,71,26
286,185,8,93,84,22
223,113,18,60,35,27
272,151,66,72,13,41
257,61,28,32,1,70
293,159,81,56,22,83
225,147,22,90,35,44
413,225,85,80,60,83
395,207,83,41,83,68
262,127,77,10,40,35
243,118,40,12,66,99
279,111,71,16,24,50
282,98,51,3,44,57
440,192,97,30,65,80
195,122,34,15,73,17
195,120,89,21,10,48
259,99,10,2,87,86
229,80,9,26,45,32
303,168,34,89,45,20
204,109,38,69,2,71
235,168,15,67,86,45
268,128,27,30,71,63
337,134,31,53,50,39
250,68,13,45,10,65
319,238,90,78,70,9
284,128,36,10,82,19
271,223,68,70,85,20
216,87,50,24,13,26
307,168,82,18,68,78
330,214,75,54,85,81
330,196,81,47,68,73
386,258,78,97,83,46
429,232,74,98,60,92
370,142,18,56,68,33
272,129,44,26,59,76
218,200,78,46,76,7
171,62,9,53,0,33
229,101,67,7,27,30
373,174,42,46,86,95
454,283,92,98,93,67
338,137,27,45,65,96
462,265,93,80,92,41
407,199,51,74,74,82
260,149,69,65,15,48
239,131,55,18,58,4
335,245,66,92,87,19
246,143,69,9,65,2
339,128,6,99,23,47
414,159,53,56,50,81
229,69,39,19,11,72
337,238,70,82,86,18
259,119,21,17,81,25
251,99,15,38,46,77
285,131,84,27,20,50
309,190,34,90,66,64
373,192,64,45,83,88
265,163,0,87,76,42
381,217,93,79,45,21
268,153,93,12,48,17
357,128,40,33,55,92
221,126,37,49,40,16
305,140,87,10,43,45
376,184,30,72,82,85
197,68,27,14,27,58
280,86,4,77,5,40
340,237,78,80,79,16
233,159,21,93,45,19
414,201,86,91,24,66
216,80,9,31,40,41
414,155,16,58,81,97
322,161,68,7,86,54
293,144,27,77,40,70
353,168,89,70,9,12
345,183,66,78,39,34
243,171,74,44,53,1
314,113,21,47,45,92
304,115,62,10,43,73
271,112,31,15,66,69
259,163,9,84,70,4
372,184,61,32,91,84
394,166,45,40,81,74
367,154,14,78,62,41
292,180,89,78,13,33
219,136,38,1,97,1
438,199,55,83,61,99
389,212,35,98,79,41
329,189,60,65,64,12
178,55,29,9,17,56
360,90,45,33,12,98
302,139,27,84,28,31
244,88,21,60,7,89
321,145,68,45,32,32
318,172,43,67,62,15
228,153,40,24,89,3
399,192,58,95,39,49
219,88,39,1,48,17
351,164,86,2,76,47
197,79,56,13,10,74
185,70,23,8,39,23
308,210,70,88,52,11
323,219,74,58,87,2
450,259,68,93,98,96
229,133,62,42,29,60
238,147,17,88,42,3
281,167,37,87,43,26
287,156,50,87,19,71
357,217,96,81,40,10
437,234,87,75,72,91
333,140,61,49,30,10
228,73,6,33,34,66
370,136,61,24,51,92
304,111,85,18,8,39
372,171,28,68,75,81
294,128,43,74,11,39
443,233,88,53,92,97
330,144,67,5,72,69
369,187,49,62,76,72
368,172,19,80,73,94
293,150,26,57,67,46
296,165,73,26,66,37
431,210,73,75,62,89
301,52,13,15,24,67
164,103,45,53,5,15
379,184,51,35,98,1
256,144,83,47,14,13
311,157,40,29,88,50
340,148,28,85,35,79
289,159,80,79,0,38
441,213,43,72,98,52
284,110,1,31,78,96
404,217,42,86,89,97
190,77,21,41,15,9
293,127,18,10,99,81
297,92,43,41,8,62
384,171,97,74,0,56
208,65,21,44,0,37
245,178,75,31,72,56
454,235,64,95,76,67
239,119,33,45,41,46
226,105,0,64,41,9
262,151,10,99,42,58
315,121,9,50,62,79
231,110,16,14,80,59
334,66,2,20,44,89
342,80,29,12,39,88
353,153,74,74,5,65
293,138,84,9,45,86
311,204,65,88,51,17
219,171,34,66,71,16
307,121,32,60,29,34
204,150,33,96,21,22
217,70,37,9,24,79
252,157,51,97,9,85
277,126,26,26,74,49
133,79,8,41,30,27
246,95,8,31,56,22
413,234,90,96,48,44
334,150,81,11,58,36
261,158,94,26,38,54
374,168,63,82,23,75
319,170,82,14,74,29
181,102,15,57,30,4
298,128,25,14,89,49
292,132,57,45,30,64
483,204,99,24,81,85
249,162,43,62,57,7
267,119,26,56,37,71
239,99,23,46,30,79
205,40,12,3,25,82
334,203,83,83,37,8
216,93,19,53,21,40
211,100,69,21,10,31
252,130,60,60,10,47
341,170,80,16,74,51
225,127,66,32,29,86
460,245,89,78,78,56
342,160,45,85,30,33
366,174,15,63,96,82
262,62,3,7,52,42
174,62,52,6,4,94
405,156,42,32,82,88
259,148,86,4,58,45
244,91,37,52,2,68
286,137,71,48,18,40
268,171,69,86,16,36
363,175,90,53,32,94
232,115,40,34,41,2
133,39,18,13,8,28
237,207,45,79,83,14
183,79,16,24,39,15
293,142,85,10,47,50
155,79,29,48,2,18
402,224,44,93,87,77
357,178,58,86,34,83
296,133,63,17,53,28
297,146,86,45,15,37
330,181,50,99,32,40
357,216,68,67,81,89
317,161,36,91,34,45
178,87,38,37,12,58
396,205,64,97,44,85
320,191,87,86,18,68
365,239,79,76,84,62
300,183,96,40,47,13
414,271,93,87,91,10
236,171,67,68,36,19
379,218,94,46,78,10
287,168,56,38,74,86
255,119,29,35,55,8
270,22,18,4,0,96
209,51,12,37,2,69
334,209,60,71,78,66
268,56,5,3,48,68
335,165,13,93,59,55
376,248,95,76,77,47
346,105,22,30,53,81
266,160,42,92,26,2
316,190,24,95,71,85
245,112,37,25,50,39
287,141,25,20,96,24
364,200,76,73,51,74
346,140,88,45,7,89
426,202,75,28,99,85
260,74,14,58,2,20
187,95,43,27,25,44
293,193,82,94,17,42
232,59,28,28,3,95
279,175,53,71,51,22
310,144,63,55,26,23
309,177,78,14,85,69
243,158,79,23,56,11
239,155,97,21,37,14
308,129,35,13,81,66
298,181,33,93,55,88
332,203,91,42,70,67
229,132,92,12,28,76
336,172,95,13,64,19
332,166,23,69,74,3
325,142,39,49,54,97
270,71,41,15,15,93
455,263,83,92,88,85
382,187,81,44,62,98
272,164,68,36,60,30
258,106,52,49,5,44
305,73,26,7,40,77
291,177,56,63,58,22
272,164,48,25,91,27
366,123,37,48,38,73
195,34,18,13,3,85
348,122,45,42,35,79
319,173,40,73,60,89
251,134,97,10,27,85
293,184,38,77,69,28
214,109,23,20,66,3
296,167,44,92,31,2
271,130,32,91,7,71
255,117,31,6,80,40
349,107,10,27,70,80
466,228,96,80,52,80
410,197,65,71,61,60
280,81,77,4,0,43
333,237,53,95,89,38
322,109,85,8,16,95
398,204,76,86,42,86
360,160,33,86,41,80
325,78,13,23,42,94
266,126,56,61,9,21
211,166,25,54,87,29
397,210,91,20,99,55
314,109,28,21,60,39
325,110,34,52,24,75
304,167,59,97,11,69
389,198,42,77,79,64
230,130,18,94,18,17
433,195,91,52,52,92
247,151,66,74,11,1
300,139,67,28,44,18
188,124,81,1,42,8
268,134,83,13,38,49
476,242,98,56,88,94
251,76,17,42,17,61
370,177,29,98,50,46
320,147,69,38,40,87
447,172,93,1,78,99
307,122,40,10,72,72
296,143,17,68,58,33
278,148,95,16,37,22
201,28,7,20,1,47
202,56,23,33,0,75
207,102,49,49,4,36
278,126,17,23,86,82
342,144,78,55,11,68
222,174,62,34,78,40
444,263,89,81,93,14
258,58,18,12,28,86
320,154,50,69,35,51
353,221,49,84,88,22
229,132,48,72,12,64
360,154,52,95,7,59
206,106,19,80,7,13
303,153,2,86,65,45
295,157,69,59,29,21
218,111,8,15,88,13
288,104,47,18,39,89
256,54,25,9,20,58
392,156,0,89,67,65
249,145,89,44,12,14
321,136,41,17,78,78
205,80,69,4,7,73
191,84,42,24,18,12
319,154,20,59,75,79
290,156,79,49,28,19
252,107,9,70,28,11
220,152,26,69,57,43
253,133,2,45,86,20
388,233,93,71,69,81
260,66,31,35,0,80
401,187,44,94,49,83
216,132,31,48,53,10
219,98,18,31,49,0
327,158,40,73,45,80
373,157,83,30,44,78
353,201,75,74,52,55
356,218,88,47,83,4
321,138,69,16,53,91
352,160,53,9,98,66
361,169,84,26,59,74
218,132,49,18,65,15
287,149,83,10,56,46
259,216,69,84,63,4
297,144,92,9,43,56
198,130,68,17,45,39
227,92,16,18,58,20
336,75,39,33,3,93
342,183,5,90,88,55
284,166,76,36,54,20
177,98,51,19,28,65
255,177,57,35,85,6
380,202,37,83,82,76
357,100,69,31,0,86
415,172,69,95,8,90
326,166,44,45,77,63
185,112,43,2,67,34
294,87,21,43,23,87
368,182,60,81,41,25
320,187,19,70,98,36
251,131,41,81,9,54
384,148,83,4,61,98
257,95,17,71,7,35
269,143,33,42,68,29
335,265,82,99,84,26
231,141,82,20,39,40
379,117,22,39,56,84
335,195,33,86,76,45
252,137,72,16,49,26
216,132,97,1,34,46
363,129,22,48,59,96
334,206,47,63,96,30
440,220,88,33,99,92
352,190,92,25,73,83
189,103,3,29,71,18
228,168,64,60,44,4
318,122,28,33,61,95
317,114,73,8,33,92
371,188,88,41,59,67
346,179,43,99,37,33
274,189,98,11,80,3
313,85,43,27,15,93
290,60,3,14,43,90
285,175,80,75,20,0
341,138,9,60,69,29
359,203,93,37,73,69
308,201,90,58,53,13
388,152,79,31,42,99
162,94,27,5,62,6
233,122,43,16,63,67
325,166,76,70,20,80
376,203,77,81,45,45
354,213,62,97,54,15
224,136,71,6,59,29
280,148,28,62,58,64
153,38,6,3,29,23
427,235,82,61,92,93
233,118,42,12,64,71
390,218,42,90,86,52
352,254,84,97,73,49
333,164,37,66,61,90
239,170,46,69,55,5
348,205,20,99,86,52
381,257,83,97,77,48
330,201,97,57,47,68
259,150,14,59,77,28
265,194,66,79,49,37
268,138,1,74,63,0
265,93,58,0,35,49
245,166,63,5,98,52
187,101,20,50,31,27
340,140,39,46,55,36
383,190,81,10,99,99
376,167,76,9,82,75
325,162,26,52,84,49
295,93,28,44,21,32
351,232,83,77,72,61
157,106,24,50,32,20
442,178,34,83,61,82
245,53,18,23,12,48
479,249,99,93,57,51
261,85,14,61,10,95
353,162,81,28,53,42
256,184,71,21,92,25
211,141,91,15,35,14
392,204,83,77,44,81
244,150,2,60,88,38
206,75,23,18,34,71
264,158,19,54,85,7
374,190,82,50,58,72
383,225,88,40,97,69
265,192,65,55,72,15
227,171,26,61,84,29
211,105,9,29,67,69
241,121,8,72,41,21
369,206,71,78,57,12
418,249,99,96,54,53
391,164,89,23,52,61
128,76,14,37,25,2
237,109,77,0,32,95
98,83,5,35,43,8
243,87,21,48,18,53
275,144,16,89,39,49
319,140,22,91,27,40
278,104,37,13,54,69
267,67,14,12,41,30
228,149,66,70,13,26
308,126,0,79,47,38
326,120,30,90,0,17
392,190,73,96,21,77
239,140,48,60,32,18
297,174,62,26,86,11
366,134,44,33,57,58
275,127,34,11,82,20
242,99,9,53,37,94
255,180,77,11,92,5
238,65,28,5,32,6
205,120,49,42,29,17
318,235,80,85,70,41
177,113,39,72,2,7
262,176,44,82,50,40
302,125,17,98,10,94
371,176,0,78,98,48
227,71,13,39,19,77
331,191,36,79,76,32
224,211,89,55,67,8
351,235,63,90,82,64
210,118,26,84,8,37
298,205,91,99,15,12
259,161,18,83,60,37
357,158,69,89,0,78
387,208,43,97,68,72
292,155,21,52,82,62
241,147,68,68,11,53
261,148,66,50,32,33
147,86,4,29,53,9
256,135,35,96,4,53
200,36,11,17,8,58
273,175,87,54,34,59
327,131,53,48,30,37
330,207,46,72,89,44
445,236,98,90,48,35
170,46,16,1,29,37
304,171,42,73,56,91
351,196,10,92,94,46
430,216,99,50,67,20
229,109,63,8,38,48
268,143,89,50,4,71
231,187,45,97,45,7
350,261,85,97,79,28
355,217,98,21,98,80
221,80,14,20,46,99
342,163,35,36,92,67
239,134,54,14,66,6
230,163,89,36,38,6
266,150,92,25,33,16
186,101,1,56,44,35
381,177,48,43,86,56
225,115,7,35,73,18
193,99,17,11,71,20
305,186,25,72,89,33
272,160,32,38,90,12
216,92,18,39,35,71
354,97,37,43,17,80
335,209,75,40,94,53
315,190,96,49,45,41
333,221,97,37,87,31
229,148,92,36,20,58
208,93,25,33,35,71
243,147,55,34,58,8
318,167,72,6,89,12
244,111,32,36,43,53
181,79,3,31,45,81
326,169,76,45,48,83
230,183,83,2,98,11
190,137,18,57,62,19
368,181,25,70,86,96
228,126,79,3,44,13
371,200,98,16,86,23
272,121,43,67,11,20
362,239,72,83,84,42
255,98,31,25,42,33
298,150,2,85,63,71
249,138,28,20,90,36
295,147,60,32,55,37
338,154,60,63,31,31
359,103,2,81,20,90
301,184,96,83,5,17
390,203,54,97,52,5
429,166,68,96,2,96
120,65,2,16,47,3
386,220,47,82,91,76
417,165,73,82,10,69
207,85,4,4,77,15
406,162,26,74,62,65
192,80,19,61,0,8
197,112,46,25,41,21
276,97,22,2,73,24
286,106,9,1,96,59
252,203,61,76,66,39
427,228,97,71,60,54
310,214,37,95,82,49
218,140,59,42,39,14
264,58,25,31,2,82
250,116,27,40,49,78
398,151,86,8,57,81
350,193,61,52,80,12
335,171,32,57,82,89
151,12,6,6,0,51
255,183,18,72,93,58
534,292,95,98,99,67
254,117,57,33,27,73
254,113,18,23,72,26
264,187,83,48,56,29
373,154,30,92,32,88
428,186,84,93,9,83
304,97,21,18,58,78
305,185,36,55,94,21
231,104,11,27,66,96
457,190,98,25,67,97
249,98,16,70,12,8
323,151,79,30,42,28
246,104,15,82,7,83
264,123,4,66,53,35
306,190,20,80,90,60
177,72,5,56,11,25
462,280,93,96,91,78
289,52,11,29,12,54
361,180,22,63,95,76
289,90,22,5,63,90
450,193,99,9,85,93
320,147,46,23,78,48
379,204,72,92,40,77
439,207,55,79,73,99
164,96,11,85,0,26
312,150,59,80,11,71
317,151,75,46,30,63
