total,total_big3,yw,sx,yy,wl
50,43,33,0,10,4
57,36,18,4,14,8
71,6,2,3,1,10
72,22,3,8,11,27
78,31,4,24,3,33
79,72,13,33,26,2
95,47,10,22,15,8
96,32,5,8,19,19
98,83,5,35,43,8
99,82,74,4,4,1
101,36,29,1,6,9
103,65,10,42,13,11
104,61,38,21,2,14
104,72,40,2,30,13
107,36,2,0,34,5
109,72,20,14,38,5
110,34,1,33,0,24
110,42,3,24,15,25
110,45,15,20,10,45
110,58,16,21,21,6
110,66,23,17,26,1
111,39,29,7,3,18
111,72,22,36,14,10
112,50,1,37,12,7
112,87,43,21,23,7
113,42,2,39,1,32
113,63,35,9,19,38
114,44,18,21,5,18
115,24,15,8,1,11
115,26,7,5,14,66
115,42,14,23,5,45
115,63,33,8,22,0
116,49,41,1,7,34
116,50,19,14,17,13
117,33,8,11,14,27
118,2,1,1,0,1
118,36,4,12,20,5
118,41,0,37,4,21
118,49,42,4,3,15
119,30,22,1,7,28
119,34,1,2,31,13
120,49,19,2,28,23
120,65,2,16,47,3
121,67,3,1,63,1
121,72,53,16,3,4
121,88,17,47,24,6
122,38,24,10,4,31
122,50,24,3,23,27
123,52,41,4,7,10
123,54,14,13,27,11
124,41,0,40,1,17
124,89,1,83,5,0
124,93,59,34,0,20
125,33,6,9,18,14
125,51,47,0,4,34
125,69,33,17,19,7
126,60,29,8,23,28
127,36,31,4,1,8
127,79,28,34,17,23
127,96,48,21,27,11
128,14,9,3,2,65
128,31,11,7,13,34
128,39,25,11,3,72
128,76,14,37,25,2
128,96,45,9,42,9
128,106,18,64,24,10
128,112,4,61,47,6
129,34,7,4,23,78
129,54,37,12,5,10
130,88,20,21,47,4
130,92,74,14,4,10
131,8,0,4,4,2
131,59,37,12,10,34
131,96,18,4,74,10
132,59,22,32,5,27
132,60,4,46,10,19
132,82,24,9,49,9
133,39,18,13,8,28
133,57,8,18,31,10
133,58,9,27,22,31
133,66,10,19,37,0
133,79,8,41,30,27
133,90,19,0,71,13
134,71,9,40,22,7
135,49,3,30,16,50
135,49,29,17,3,9
135,57,16,32,9,2
135,75,14,34,27,2
135,93,19,69,5,4
137,61,17,17,27,38
137,65,1,25,39,44
137,70,35,32,3,26
137,73,18,1,54,7
138,60,0,51,9,24
138,63,37,4,22,14
138,64,36,20,8,38
138,77,63,4,10,46
139,73,20,45,8,11
139,118,14,18,86,12
140,32,14,5,13,37
140,34,7,1,26,21
140,44,13,28,3,89
140,124,30,82,12,1
141,32,0,6,26,49
141,47,17,16,14,11
141,54,20,24,10,52
141,69,0,39,30,22
141,91,45,4,42,2
141,93,6,73,14,10
141,103,79,14,10,13
142,20,3,3,14,54
142,54,9,35,10,3
142,64,28,27,9,1
143,22,9,11,2,17
143,43,0,40,3,11
143,49,12,36,1,6
143,58,11,46,1,18
143,96,53,40,3,23
143,101,6,1,94,2
144,61,27,24,10,13
144,88,55,3,30,32
144,93,31,4,58,19
144,94,0,36,58,12
144,112,24,81,7,2
145,28,9,10,9,62
145,81,56,5,20,12
146,24,9,5,10,86
146,49,35,6,8,43
146,58,27,5,26,18
146,88,26,44,18,9
146,106,3,84,19,1
146,106,35,17,54,20
147,36,32,4,0,31
147,46,25,0,21,40
147,49,4,42,3,58
147,86,4,29,53,9
147,98,44,43,11,7
147,107,10,32,65,1
148,32,14,6,12,45
