total,total_big3,yw,sx,yy
246,158,40,26,92
347,160,0,89,71
200,103,5,97,1
339,145,82,23,40
342,131,61,3,67
201,113,8,30,75
481,256,87,73,96
272,106,21,48,37
305,143,43,67,33
326,207,92,84,31
330,142,9,54,79
459,234,75,68,91
210,105,78,10,17
242,81,71,0,10
381,222,74,70,78
345,156,76,14,66
323,121,28,63,30
320,160,37,28,95
358,195,42,93,60
256,102,15,55,32
307,108,58,28,22
306,192,62,54,76
219,154,29,72,53
212,144,79,44,21
275,142,14,72,56
204,88,39,15,34
300,151,5,56,90
313,155,55,74,26
266,124,43,46,35
267,111,11,32,68
376,171,79,25,67
388,236,89,81,66
437,243,61,99,83
377,262,97,84,81
363,178,43,48,87
224,50,40,3,7
287,168,45,73,50
248,146,99,8,39
284,69,9,9,51
229,109,22,18,69
353,175,40,38,97
419,188,35,59,94
321,161,70,17,74
257,193,55,70,68
424,216,47,96,73
379,168,25,51,92
276,160,11,81,68
218,52,38,4,10
281,119,51,9,59
287,188,61,92,35
264,104,69,13,22
226,100,29,3,68
274,125,99,4,22
427,215,86,70,59
370,234,92,72,70
358,156,46,91,19
379,181,86,28,67
221,174,53,62,59
201,116,74,11,31
272,189,87,95,7
333,205,68,60,77
332,160,69,37,54
302,128,12,89,27
198,71,14,20,37
266,90,8,42,40
281,189,72,69,48
209,49,26,21,2
336,118,11,72,35
327,177,12,68,97
170,42,11,6,25
323,177,59,90,28
297,113,10,11,92
339,227,81,91,55
262,137,76,13,48
249,103,34,56,13
238,129,2,95,32
232,124,46,56,22
227,41,8,19,14
275,165,53,54,58
388,173,17,90,66
278,126,80,17,29
278,179,74,56,49
260,142,91,21,30
408,225,81,55,89
131,67,24,43,0
187,151,39,61,51
401,168,29,77,62
315,200,81,44,75
272,111,28,31,52
270,149,82,28,39
259,33,0,20,13
351,210,84,68,58
293,78,8,30,40
376,144,17,80,47
239,148,91,46,11
428,218,92,62,64
265,113,15,36,62
418,250,81,95,74
466,202,86,71,45
217,88,17,41,30
310,124,77,32,15
351,229,96,91,42
255,133,46,18,69
365,202,91,41,70
246,79,25,10,44
313,165,81,18,66
284,173,72,56,45
326,210,49,94,67
407,152,96,27,29
336,138,52,42,44
217,78,16,39,23
311,212,66,94,52
392,159,70,14,75
263,107,50,55,2
287,191,82,30,79
235,124,21,91,12
334,160,22,83,55
219,113,77,21,15
409,207,28,84,95
315,147,20,41,86
269,168,75,10,83
227,127,72,13,42
186,57,16,29,12
461,221,54,84,83
175,63,40,7,16
222,58,11,31,16
401,186,84,14,88
334,154,62,42,50
331,166,26,91,49
376,204,62,48,94
358,118,42,53,23
329,141,33,88,20
357,153,9,95,49
291,153,51,40,62
350,217,82,42,93
337,229,89,54,86
170,61,32,14,15
296,107,23,56,28
289,153,17,99,37
287,165,53,73,39
145,104,57,10,37
246,78,56,3,19
347,186,85,69,32
230,81,32,22,27
218,96,31,24,41
249,98,28,9,61
234,131,7,29,95
173,122,51,48,23
358,208,85,31,92
334,140,93,7,40
318,166,30,64,72
445,204,76,81,47
465,187,15,86,86
198,70,3,39,28
377,240,98,96,46
210,82,20,10,52
299,152,24,43,85
299,126,38,72,16
288,144,45,34,65
291,137,97,8,32
314,162,83,44,35
381,129,17,52,60
186,129,32,48,49
230,116,64,27,25
257,80,10,1,69
184,69,11,24,34
120,101,28,31,42
237,76,28,6,42
370,181,30,62,89
326,199,95,82,22
349,202,43,64,95
384,192,89,16,87
314,159,96,29,34
274,139,50,61,28
313,253,97,73,83
174,137,13,62,62
168,125,27,25,73
271,105,18,75,12
379,148,41,26,81
180,107,48,59,0
306,116,48,63,5
297,153,45,74,34
308,133,15,73,45
232,135,9,70,56
300,136,46,15,75
319,97,4,15,78
244,123,29,29,65
304,177,99,53,25
415,144,44,44,56
258,174,56,76,42
169,19,18,0,1
290,128,85,30,13
366,165,22,59,84
282,229,73,73,83
312,119,22,34,63
234,74,14,33,27
290,160,45,43,72
292,177,60,90,27
231,62,1,39,22
251,64,15,29,20
223,47,3,24,20
275,110,24,85,1
310,125,72,29,24
317,115,7,27,81
359,228,70,59,99
361,199,46,62,91
381,264,89,77,98
237,162,64,30,68
420,266,84,97,85
295,188,87,57,44
347,198,61,46,91
256,153,38,61,54
285,222,72,96,54
328,99,31,17,51
316,219,91,77,51
400,201,78,71,52
300,195,58,58,79
181,53,30,9,14
293,174,95,74,5
274,211,82,64,65
219,94,15,42,37
210,145,91,27,27
372,195,81,82,32
331,94,21,10,63
309,176,59,47,70
325,156,52,57,47
312,126,9,46,71
242,87,14,24,49
247,165,62,47,56
273,158,8,51,99
382,157,78,79,0
439,241,84,84,73
386,209,94,44,71
253,105,10,41,54
242,98,23,15,60
248,96,8,44,44
356,129,19,45,65
356,129,91,4,34
318,197,7,93,97
332,151,63,36,52
291,140,45,65,30
442,231,95,85,51
289,89,10,9,70
375,163,64,35,64
136,56,34,5,17
374,198,87,73,38
255,71,64,6,1
223,123,61,56,6
296,134,18,75,41
154,63,46,2,15
336,125,10,22,93
228,109,22,27,60
163,67,1,5,61
388,218,50,93,75
303,149,71,6,72
363,133,63,47,23
318,176,93,11,72
320,199,39,73,87
224,166,75,48,43
383,174,98,45,31
284,178,50,90,38
325,193,83,70,40
362,163,74,24,65
269,127,30,6,91
234,74,7,22,45
165,97,8,28,61
221,92,56,31,5
323,150,52,37,61
224,147,91,44,12
396,172,72,81,19
260,161,46,68,47
456,275,95,95,85
430,209,75,98,36
244,117,1,92,24
330,206,91,59,56
281,189,84,32,73
303,164,61,78,25
192,130,71,26,33
359,236,86,75,75
128,38,24,12,2
336,170,23,90,57
328,155,44,46,65
362,131,33,79,19
401,199,24,92,83
408,206,81,81,44
299,67,36,29,2
305,187,52,95,40
359,131,31,3,97
270,187,68,42,77
295,168,51,24,93
411,208,83,99,26
469,208,80,68,60
115,82,17,19,46
338,153,18,93,42
241,147,45,56,46
244,151,45,97,9
366,222,88,47,87
295,137,62,8,67
323,199,39,95,65
303,135,94,13,28
372,139,34,12,93
285,241,97,49,95
237,93,83,1,9
389,236,80,61,95
258,140,27,95,18
270,149,39,46,64
